,y_true
0,3393.79345703125
1,4593.87744140625
2,5379.3046875
3,2406.463134765625
4,4211.712890625
5,5193.1708984375
6,5576.26416015625
7,5418.5146484375
8,5232.0087890625
9,3437.979736328125
10,3827.852294921875
11,3589.208740234375
12,3516.669921875
13,4215.63671875
14,4939.76708984375
15,5432.984375
16,5449.66162109375
17,5226.658203125
18,5172.33740234375
19,5290.7138671875
20,5362.1875
21,3767.691162109375
22,4888.7958984375
23,5155.02099609375
24,4919.962890625
25,4879.380859375
26,5134.64501953125
27,5425.63525390625
28,5462.521484375
29,5353.4052734375
30,5237.431640625
31,5179.96484375
32,5332.0263671875
33,5299.4140625
34,4836.1396484375
35,5001.04541015625
36,5800.39501953125
37,5868.484375
38,5732.83544921875
39,5555.8134765625
40,5548.04638671875
41,5503.873046875
42,5260.998046875
43,5293.3330078125
44,5225.38427734375
45,5180.99365234375
46,5280.328125
47,4989.42431640625
48,4299.32373046875
49,4643.0927734375
50,5920.849609375
51,6405.5458984375
52,6302.53759765625
53,6142.44482421875
54,5874.31884765625
55,5664.1533203125
56,5442.283203125
57,5253.91015625
58,5340.265625
59,5181.98876953125
60,5111.046875
61,5082.572265625
62,4435.98828125
63,3509.8408203125
64,4095.80322265625
65,5579.83154296875
66,6454.63525390625
67,6650.4658203125
68,6526.34814453125
69,6407.68115234375
70,5990.56396484375
71,5670.20458984375
72,5440.916015625
73,5309.53857421875
74,5423.287109375
75,5146.3310546875
76,4973.044921875
77,4580.91357421875
78,3667.159423828125
79,5006.8564453125
80,6157.10546875
81,6703.88134765625
82,6628.767578125
83,6532.14208984375
84,6268.0810546875
85,5782.78173828125
86,5502.1103515625
87,5341.126953125
88,5322.2236328125
89,5354.52197265625
90,5015.4208984375
91,4588.16796875
92,3832.35400390625
93,2648.762939453125
94,4267.4892578125
95,5623.34521484375
96,6413.4697265625
97,6651.76708984375
98,6558.44287109375
99,6321.79345703125
100,5915.7509765625
101,5569.06201171875
102,5437.6884765625
103,5472.857421875
104,5420.63427734375
105,5343.74169921875
106,4780.58251953125
107,4009.71435546875
108,2943.30419921875
109,3592.0517578125
110,5017.96240234375
111,6016.12255859375
112,6456.1064453125
113,6504.31103515625
114,6265.17236328125
115,5807.330078125
116,5463.28466796875
117,5339.88330078125
118,5405.072265625
119,5551.6435546875
120,5465.12890625
121,5164.546875
122,4348.4873046875
123,3262.2001953125
124,4544.97021484375
125,5550.48779296875
126,6281.56787109375
127,6476.0576171875
128,6415.9267578125
129,5975.71435546875
130,5439.81640625
131,5182.94775390625
132,5255.0009765625
133,5455.81298828125
134,5552.70458984375
135,5368.65966796875
136,4769.56396484375
137,3743.3369140625
138,3312.56640625
139,4529.99169921875
140,5231.18017578125
141,5796.79931640625
142,6205.32568359375
143,6368.73876953125
144,6134.072265625
145,5618.0048828125
146,5135.31689453125
147,4991.75048828125
148,5194.671875
149,5420.2236328125
150,5425.078125
151,4993.02685546875
152,4128.05126953125
153,2884.949462890625
154,3268.357666015625
155,4703.6767578125
156,5488.48388671875
157,5913.2900390625
158,6041.357421875
159,6231.26904296875
160,6352.95849609375
161,5920.32470703125
162,5407.28076171875
163,5090.4111328125
164,5001.65576171875
165,5152.73681640625
166,5354.6982421875
167,5099.2001953125
168,4389.3388671875
169,3269.725830078125
170,4706.1044921875
171,5808.50244140625
172,6284.7705078125
173,6382.4208984375
174,6177.158203125
175,6289.6826171875
176,6275.2998046875
177,5793.51806640625
178,5518.408203125
179,5307.158203125
180,5159.8486328125
181,5157.720703125
182,5127.56298828125
183,4552.2216796875
184,3596.11328125
185,4150.0517578125
186,5625.5458984375
187,6349.271484375
188,6542.83984375
189,6615.3154296875
190,6361.44921875
191,6262.8232421875
192,6043.6435546875
193,5742.5908203125
194,5706.7001953125
195,5648.41357421875
196,5364.38525390625
197,5104.94921875
198,4637.5654296875
199,3705.409423828125
200,2628.524169921875
201,3680.421142578125
202,5335.4169921875
203,6343.1171875
204,6732.5751953125
205,6827.16162109375
206,6839.36962890625
207,6612.6884765625
208,6344.78271484375
209,6072.23291015625
210,6011.9443359375
211,6076.64697265625
212,6165.48974609375
213,5779.90625
214,5110.5546875
215,4223.22265625
216,2867.151123046875
217,4752.35302734375
218,6015.42626953125
219,6506.7861328125
220,6598.01220703125
221,6700.462890625
222,6698.546875
223,6508.33056640625
224,6246.91015625
225,6153.09765625
226,6386.0029296875
227,6574.60546875
228,6736.2861328125
229,6097.46142578125
230,4925.32568359375
231,3598.119873046875
232,4170.90234375
233,5615.58203125
234,6354.6455078125
235,6492.2998046875
236,6494.4072265625
237,6552.763671875
238,6521.8349609375
239,6288.76904296875
240,6019.7958984375
241,6241.53662109375
242,6703.13330078125
243,6920.220703125
244,7157.2802734375
245,6008.2587890625
246,4410.271484375
247,3622.7197265625
248,5149.28466796875
249,6124.81103515625
250,6476.8017578125
251,6436.626953125
252,6437.60693359375
253,6394.43505859375
254,6255.63525390625
255,5956.05126953125
256,5701.556640625
257,6232.52294921875
258,6663.2578125
259,6914.67529296875
260,6904.8505859375
261,5361.41064453125
262,3564.99658203125
263,4722.7353515625
264,5855.27978515625
265,6392.197265625
266,6353.6455078125
267,6319.76123046875
268,6294.6181640625
269,6124.37548828125
270,5974.39501953125
271,5630.529296875
272,5530.365234375
273,6134.2265625
274,6482.14208984375
275,6573.337890625
276,6030.51513671875
277,4185.9423828125
278,4174.33056640625
279,5608.8896484375
280,6303.63720703125
281,6497.291015625
282,6390.5419921875
283,6410.93896484375
284,6303.03564453125
285,6045.55908203125
286,5850.7705078125
287,5474.072265625
288,5373.54638671875
289,5850.6279296875
290,6004.54638671875
291,5725.5966796875
292,4742.88330078125
293,3703.04638671875
294,5236.94384765625
295,6250.20556640625
296,6544.24609375
297,6519.15869140625
298,6461.96337890625
299,6366.7822265625
300,6162.0390625
301,5938.544921875
302,5859.7001953125
303,5656.15625
304,5615.193359375
305,5810.63623046875
306,5414.88037109375
307,4626.79345703125
308,3289.130859375
309,4771.8046875
310,5960.8994140625
311,6585.18017578125
312,6573.2763671875
313,6547.52294921875
314,6451.39453125
315,6182.1953125
316,5910.25390625
317,5669.71337890625
318,5775.8828125
319,5736.98046875
320,5844.17822265625
321,5695.33984375
322,4807.85009765625
323,3537.17236328125
324,4226.8603515625
325,5607.71435546875
326,6364.7451171875
327,6608.44775390625
328,6524.4296875
329,6513.63916015625
330,6369.388671875
331,6034.38818359375
332,5763.765625
333,5587.037109375
334,5732.814453125
335,5754.43212890625
336,5700.6435546875
337,5138.90185546875
338,3838.076416015625
339,5191.06591796875
340,6124.828125
341,6525.8251953125
342,6549.89892578125
343,6518.611328125
344,6423.7333984375
345,6182.1337890625
346,5760.0009765625
347,5547.5849609375
348,5367.470703125
349,5587.0849609375
350,5710.640625
351,5329.8251953125
352,4474.50244140625
353,4646.42138671875
354,5832.1171875
355,6364.26416015625
356,6459.0068359375
357,6507.01953125
358,6471.15087890625
359,6245.89404296875
360,5964.69921875
361,5578.6455078125
362,5398.58642578125
363,5210.66064453125
364,5404.11572265625
365,5192.0537109375
366,4506.12646484375
367,3385.0732421875
368,4096.6123046875
369,5453.81298828125
370,6219.560546875
371,6427.34228515625
372,6446.40966796875
373,6488.60791015625
374,6283.25537109375
375,5920.9921875
376,5713.89111328125
377,5424.97265625
378,5339.31298828125
379,5301.712890625
380,5156.66748046875
381,4571.93212890625
382,3499.785888671875
383,5029.6201171875
384,5964.92138671875
385,6405.2314453125
386,6413.72119140625
387,6443.86474609375
388,6431.98828125
389,6081.29052734375
390,5688.001953125
391,5751.91162109375
392,5532.6240234375
393,5541.95703125
394,5463.87353515625
395,4756.8544921875
396,3846.71533203125
397,4468.97265625
398,5656.15283203125
399,6227.88525390625
400,6403.90771484375
401,6447.31884765625
402,6441.89404296875
403,6312.400390625
404,5830.2578125
405,5646.20361328125
406,5958.44677734375
407,5883.10400390625
408,5975.71337890625
409,5493.798828125
410,4253.298828125
411,2924.4443359375
412,3866.90380859375
413,5213.8955078125
414,6022.69287109375
415,6293.40673828125
416,6406.28076171875
417,6499.9091796875
418,6371.12060546875
419,6177.6943359375
420,5831.16748046875
421,5889.20654296875
422,6310.14453125
423,6270.2998046875
424,6048.6484375
425,5069.1025390625
426,3352.77392578125
427,4723.3583984375
428,5644.412109375
429,6145.6455078125
430,6220.38916015625
431,6347.970703125
432,6398.005859375
433,6214.712890625
434,6110.13818359375
435,6104.19384765625
436,6392.91845703125
437,6750.6640625
438,6518.5380859375
439,5733.72412109375
440,4270.9970703125
441,3985.2607421875
442,5167.13134765625
443,5803.37109375
444,6040.6220703125
445,6139.01806640625
446,6250.7177734375
447,6204.45947265625
448,6016.0263671875
449,6042.701171875
450,6291.43701171875
451,6759.62841796875
452,6912.90771484375
453,6249.5302734375
454,4920.8603515625
455,3607.27392578125
456,4943.955078125
457,5660.501953125
458,5843.76416015625
459,5856.9482421875
460,5948.6025390625
461,6036.11767578125
462,6024.74560546875
463,5878.79248046875
464,5956.85302734375
465,6356.9287109375
466,6694.1953125
467,6413.62890625
468,5378.57958984375
469,3608.962890625
470,3929.013427734375
471,5052.04443359375
472,5631.36279296875
473,5764.87841796875
474,5881.44970703125
475,6006.630859375
476,5923.99853515625
477,5811.6357421875
478,5707.2109375
479,5861.01806640625
480,6252.525390625
481,6290.77685546875
482,5619.77685546875
483,4167.2890625
484,3134.370361328125
485,3918.720703125
486,4140.85205078125
487,4347.34423828125
488,4472.2001953125
489,4606.78173828125
490,4616.2626953125
491,4616.609375
492,4605.26171875
493,4736.4345703125
494,5010.7265625
495,4825.01708984375
496,4071.626953125
497,6722.2802734375
498,8349.51953125
499,8680.849609375
500,7664.05078125
501,6376.32666015625
502,6412.7705078125
503,8839.23046875
504,9997.53515625
505,9787.4677734375
506,8482.7333984375
507,7824.3134765625
508,7307.59716796875
509,6203.8544921875
510,8190.302734375
511,9755.9677734375
512,9822.93359375
513,8681.2509765625
514,7860.361328125
515,7827.81298828125
516,8244.56640625
517,7941.85791015625
518,6833.1943359375
519,7370.38525390625
520,9437.7939453125
521,9852.3837890625
522,8892.28515625
523,7314.5
524,6617.43359375
525,6935.08349609375
526,8325.4921875
527,9059.7578125
528,8217.251953125
529,6452.6181640625
530,8974.38671875
531,9943.2080078125
532,9307.744140625
533,7796.4443359375
534,6574.82666015625
535,5968.18505859375
536,6399.82958984375
537,7919.25537109375
538,8569.1728515625
539,7940.390625
540,8355.564453125
541,9903.294921875
542,9640.1064453125
543,8104.42529296875
544,6769.4404296875
545,6008.2275390625
546,6132.29248046875
547,7016.81396484375
548,8137.283203125
549,8038.51220703125
550,6605.9501953125
551,7458.2861328125
552,9546.126953125
553,9953.4033203125
554,8773.4404296875
555,7141.5556640625
556,6175.32861328125
557,6001.181640625
558,6749.65576171875
559,8075.556640625
560,8543.0478515625
561,7628.68994140625
562,6380.4755859375
563,8853.08984375
564,9872.603515625
565,9387.771484375
566,7702.95068359375
567,6485.6328125
568,5990.27099609375
569,6431.0439453125
570,7690.828125
571,8665.3359375
572,8225.0634765625
573,6269.23681640625
574,7966.21484375
575,9477.6640625
576,9537.72265625
577,8426.6318359375
578,7002.2529296875
579,6271.20947265625
580,6396.21435546875
581,7330.22216796875
582,8541.1416015625
583,8656.41796875
584,7106.97998046875
585,6832.52880859375
586,8899.5302734375
587,9319.3974609375
588,8743.548828125
589,7774.40283203125
590,6906.2548828125
591,6932.19970703125
592,7509.9208984375
593,8547.427734375
594,8926.9140625
595,7825.095703125
596,5825.35107421875
597,8017.0673828125
598,9034.6904296875
599,8739.9892578125
600,8029.20751953125
601,7519.7275390625
602,7301.8955078125
603,7908.33349609375
604,8710.322265625
605,9209.7783203125
606,8502.6015625
607,6306.9765625
608,7159.09912109375
609,8517.0361328125
610,8647.9775390625
611,7894.529296875
612,7619.9443359375
613,7534.49072265625
614,7920.9384765625
615,8889.1103515625
616,9452.05859375
617,8978.734375
618,7157.39404296875
619,6472.013671875
620,7948.49169921875
621,8341.4658203125
622,7826.8740234375
623,7349.05712890625
624,7471.63134765625
625,7868.67236328125
626,8607.546875
627,9586.076171875
628,9369.1328125
629,7839.7353515625
630,6102.994140625
631,7762.4609375
632,8154.044921875
633,7593.04443359375
634,7007.03955078125
635,7031.16455078125
636,7574.64453125
637,8412.6337890625
638,9186.509765625
639,9507.669921875
640,8340.7763671875
641,5954.763671875
642,7788.75830078125
643,8359.865234375
644,7640.6123046875
645,6616.63134765625
646,6519.21240234375
647,6993.55419921875
648,8061.986328125
649,9030.4384765625
650,9411.2333984375
651,8792.8857421875
652,6701.337890625
653,7729.125
654,8834.873046875
655,8260.1474609375
656,6765.96630859375
657,6017.673828125
658,6287.26171875
659,7322.25390625
660,8701.8720703125
661,9548.646484375
662,9187.8818359375
663,7592.533203125
664,6965.88330078125
665,8957.001953125
666,8943.126953125
667,7596.34375
668,6137.54443359375
669,5778.78857421875
670,6517.26611328125
671,7955.66064453125
672,9316.6875
673,9606.72265625
674,8353.423828125
675,5976.7802734375
676,5798.99755859375
677,8345.9248046875
678,9315.046875
679,8375.078125
680,6921.46044921875
681,5912.5703125
682,6015.619140625
683,7207.81103515625
684,8722.169921875
685,9640.9208984375
686,8949.0244140625
687,6852.84765625
688,7113.126953125
689,8890.509765625
690,8960.2275390625
691,7654.91455078125
692,6704.98291015625
693,6227.51318359375
694,6818.15185546875
695,8204.728515625
696,9459.908203125
697,9401.859375
698,7811.90625
699,6124.271484375
700,8001.94677734375
701,8826.1376953125
702,8326.091796875
703,7265.8935546875
704,6829.96728515625
705,6932.57666015625
706,7910.71923828125
707,9253.30859375
708,9759.451171875
709,8603.3017578125
710,6183.58349609375
711,5239.8369140625
712,7373.197265625
713,8393.7158203125
714,8446.3623046875
715,7839.41796875
716,7273.662109375
717,7235.75439453125
718,7771.40625
719,8875.4443359375
720,9775.6728515625
721,9169.064453125
722,7082.93896484375
723,6836.87158203125
724,8228.236328125
725,8326.44921875
726,7760.7734375
727,7436.837890625
728,7359.66552734375
729,7750.482421875
730,8610.75390625
731,9615.2060546875
732,9523.8828125
733,7889.7080078125
734,6058.78125
735,7592.9091796875
736,8343.607421875
737,7830.48779296875
738,7235.30126953125
739,7266.79345703125
740,7659.20947265625
