,32,32,32,32,32,64,64,64,64,64,128,128,128,128,128
,4,6,8,10,12,4,6,8,10,12,4,6,8,10,12
test,1344.5616113129086,1595.9580003310439,1743.8367011580108,2002.0619342412972,1467.2196981160596,1198.2510658873668,1410.6110870109117,1327.1304869428482,1238.8117756488894,1507.2479702027374,1049.7497144911024,1218.6181816948786,1560.8746731228298,1346.7487352159287,1618.086266411675
train,814.5418863501624,865.4070897826734,839.9317763200951,819.817245887582,833.347478802236,685.2839250655319,676.5610072676499,662.7519939372482,663.5693384886978,682.065375808142,446.59415187224386,401.80018056667643,438.26199697574106,377.5341413382261,573.733027666869
