,32,32,32,32,32,64,64,64,64,64,128,128,128,128,128
,4,6,8,10,12,4,6,8,10,12,4,6,8,10,12
test,963.9631656944913,873.5569551781502,929.3906401354026,767.7872508581115,819.6007984911978,899.1942519612518,1013.2866678224688,979.8978930088418,821.7545888956311,907.9829677206137,628.5930278472694,510.7551382160575,637.4483942370887,688.0040404114018,980.3242899714849
train,402.1808106482805,403.8939275583131,332.50815758022105,357.60732614271404,355.84607499546144,404.6800390936181,372.28070475078437,355.85448765626745,351.5187781373162,348.23084394151283,345.6326252342874,299.48948618799045,283.6069698590334,301.0340655544948,303.46794606024906
