,32,32,32,32,32,64,64,64,64,64,128,128,128,128,128
,4,6,8,10,12,4,6,8,10,12,4,6,8,10,12
test,852.44469868428,1039.3905654494827,920.8869449099979,933.1214268040013,822.0808394148543,1120.0617672504195,1123.9021195994128,840.2740247483222,1138.5949559563758,1054.5066432466442,1184.3981790745513,831.5514825049867,800.8504229606466,882.0938519416972,988.530416285738
train,403.4435469429768,395.1386813162272,373.23673592488274,359.01153027865394,339.0656652902671,395.886159231713,372.95287061684934,338.3842650147839,366.74791548344723,319.4656516088894,382.72712740883236,312.74827756119964,312.8630551121587,296.4470805313267,308.9471137043835
