,32,32,32,32,32,64,64,64,64,64,128,128,128,128,128
,4,6,8,10,12,4,6,8,10,12,4,6,8,10,12
test,1267.93555928893,910.958099224167,922.4680303682347,934.3284744709408,1150.9113476111083,1272.1277091543677,1339.1444993881391,1249.0056516715142,1199.7678443637476,1515.0763120813385,813.1338080469965,1132.7339440519295,856.913552576424,1037.2203974746064,728.2195477285429
train,450.914794504567,374.444468030932,351.0325906791697,387.6093577821818,422.1875792421489,400.39107747777075,371.6998694181503,352.70162805444716,344.98426603624927,393.9105622597543,331.17011389289047,321.17409071921077,328.91664809257196,307.4643326454055,311.7807831745801
